ocel:eid,ocel:timestamp,ocel:activity,ocel:type:case:concept:name,ocel:type:org:resource,ocel:type:case:repo
0,2018-08-24 12:03:19+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['Javert899'],['pm4py/pm4py-core']
8,2018-09-03 15:29:33+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/2/timeline'],['fmannhardt'],['pm4py/pm4py-core']
9,2018-09-12 07:15:13+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/2/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
13,2018-09-13 11:42:48+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/3/timeline'],['edugonza'],['pm4py/pm4py-core']
16,2018-09-13 11:49:34+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/4/timeline'],['edugonza'],['pm4py/pm4py-core']
17,2018-09-14 13:42:41+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/4/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
18,2018-09-14 13:42:41+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/4/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
14,2018-10-02 11:27:48+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/3/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
15,2018-10-02 11:28:03+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/3/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
19,2018-10-02 11:29:54+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
20,2018-10-02 11:29:54+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
21,2018-10-02 11:29:55+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
22,2018-10-02 11:29:55+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
23,2018-10-02 11:29:55+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
29,2018-10-03 14:23:48+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
30,2018-10-03 14:23:48+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
31,2018-10-03 14:23:48+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
32,2018-10-03 14:23:49+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
10,2018-10-03 14:24:08+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/2/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
38,2018-10-03 15:22:57+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
39,2018-10-03 15:23:05+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
40,2018-10-03 15:23:14+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
41,2018-10-03 15:23:20+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
1,2018-10-03 15:27:05+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
2,2018-10-03 15:27:11+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
3,2018-10-03 15:30:28+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
4,2018-10-03 15:30:34+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
42,2018-10-03 15:31:03+00:00,renamed,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
43,2018-10-03 15:31:10+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/7/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
24,2018-10-03 15:31:24+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
25,2018-10-03 15:31:26+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
33,2018-10-03 15:31:43+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
34,2018-10-03 15:31:49+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/6/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
46,2018-10-24 15:10:35+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/8/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
47,2018-10-24 15:11:26+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/8/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
48,2018-10-24 15:11:26+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/8/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
49,2018-10-26 08:07:21+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/9/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
50,2018-10-26 08:07:37+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/9/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
51,2018-10-26 08:07:37+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/9/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
52,2018-10-26 08:09:27+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
53,2018-10-26 08:09:27+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
54,2018-10-26 08:09:27+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
55,2018-10-26 08:09:28+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
56,2018-10-26 08:09:28+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
61,2018-10-31 09:41:20+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
62,2018-10-31 09:41:20+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
63,2018-10-31 09:41:20+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
64,2018-10-31 09:41:20+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
65,2018-10-31 09:41:20+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
66,2018-10-31 09:41:20+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
67,2018-10-31 09:41:20+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/11/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
57,2018-10-31 10:27:25+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['Javert899'],['pm4py/pm4py-core']
71,2018-10-31 14:26:21+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/12/timeline'],['serkserk'],['pm4py/pm4py-core']
72,2018-10-31 14:59:38+00:00,renamed,['https://api.github.com/repos/pm4py/pm4py-core/issues/12/timeline'],['serkserk'],['pm4py/pm4py-core']
73,2018-10-31 16:26:36+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/12/timeline'],['Javert899'],['pm4py/pm4py-core']
5,2018-10-31 16:33:18+00:00,moved_columns_in_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['Javert899'],['pm4py/pm4py-core']
6,2018-10-31 16:33:18+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['Javert899'],['pm4py/pm4py-core']
7,2018-10-31 16:33:18+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/1/timeline'],['Javert899'],['pm4py/pm4py-core']
26,2018-10-31 16:36:42+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/5/timeline'],['Javert899'],['pm4py/pm4py-core']
74,2018-10-31 16:39:08+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/12/timeline'],['serkserk'],['pm4py/pm4py-core']
75,2018-10-31 16:39:11+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/12/timeline'],['serkserk'],['pm4py/pm4py-core']
58,2018-11-01 09:30:15+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
76,2018-11-01 09:38:26+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/13/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
77,2018-11-01 09:38:54+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/13/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
78,2018-11-01 09:38:54+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/13/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
59,2018-11-01 09:46:05+00:00,moved_columns_in_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
60,2018-11-01 09:46:05+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/10/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
79,2018-11-01 10:03:24+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
80,2018-11-01 10:03:24+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
81,2018-11-01 10:03:25+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
82,2018-11-01 10:03:25+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
83,2018-11-01 10:03:25+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
84,2018-11-01 10:44:23+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['Javert899'],['pm4py/pm4py-core']
85,2018-11-01 11:08:40+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
88,2018-11-01 11:09:22+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/15/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
89,2018-11-01 11:09:37+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/15/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
90,2018-11-01 11:09:37+00:00,merged,['https://api.github.com/repos/pm4py/pm4py-core/issues/15/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
86,2018-11-01 11:15:29+00:00,moved_columns_in_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
87,2018-11-01 11:15:29+00:00,closed,['https://api.github.com/repos/pm4py/pm4py-core/issues/14/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
91,2018-11-04 10:08:02+00:00,created,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
92,2018-11-04 10:08:02+00:00,added_to_project,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
93,2018-11-04 10:08:02+00:00,assigned,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
94,2018-11-04 10:08:02+00:00,milestoned,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
95,2018-11-04 10:08:02+00:00,labeled,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['s-j-v-zelst'],['pm4py/pm4py-core']
96,2018-11-04 10:13:16+00:00,commented,['https://api.github.com/repos/pm4py/pm4py-core/issues/16/timeline'],['Javert899'],['pm4py/pm4py-core']
