ocel:eid,ocel:timestamp,ocel:activity,ocel:type:MATNR,ocel:type:WERKS,ocel:type:QNAME,ocel:type:NLPLA,ocel:type:NLQNR
0,1994-12-07 16:33:33,Transfer Confirmation,['99-120'],['1000'],['KLOSE'],['03-01-01'],['03-01-01_0000000002']
1,1994-12-07 17:23:58,Transfer Confirmation,['99-120'],['1000'],['KLOSE'],['0080000008'],['0080000008_0000000003']
2,1994-12-07 23:58:00,Goods Receipt,['99-120'],['1000'],['KLOSE'],['03-01-01'],['03-01-01_0000000002']
3,1994-12-07 23:58:00,Goods Receipt,['99-120'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000154']
4,1994-12-08 11:26:32,Transfer Confirmation,['99-120'],['1000'],['KLOSE'],['03-01-02'],['03-01-02_0000000006']
5,1994-12-08 11:32:03,Transfer Confirmation,['99-120'],['1000'],['KLOSE'],['0080000009'],['0080000009_0000000007']
6,1994-12-08 12:15:01,Transfer Confirmation,['99-100'],['1000'],['KLOSE'],['03-01-03'],['03-01-03_0000000010']
7,1994-12-08 12:26:52,Transfer Confirmation,['99-100'],['1000'],['KLOSE'],['03-01-04'],['03-01-04_0000000012']
8,1994-12-08 12:35:03,Transfer Confirmation,['99-120'],['1000'],['KLOSE'],['0080000010'],['0080000010_0000000013']
9,1994-12-08 23:58:00,Goods Receipt,['99-120'],['1000'],['KLOSE'],['03-01-02'],['03-01-02_0000000006']
10,1994-12-08 23:58:00,Goods Receipt,['99-100'],['1000'],['KLOSE'],['03-01-03'],['03-01-03_0000000010']
11,1994-12-08 23:58:00,Goods Receipt,['99-100'],['1000'],['KLOSE'],['03-01-04'],['03-01-04_0000000012']
12,1994-12-08 23:58:00,Goods Receipt,['99-120'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000154']
13,1994-12-08 23:58:00,Goods Receipt,['99-100'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000155']
14,1994-12-08 23:58:00,Goods Receipt,['99-100'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000156']
15,1994-12-08 23:58:00,Goods Receipt,['99-100'],['1000'],['ERNESTI'],['WE-ZONE'],['WE-ZONE_0000000156']
16,1995-02-28 18:59:55,Transfer Confirmation,['99-120'],['3000'],['CHARLIER'],['03-01-05'],['03-01-05_0000000026']
17,1995-02-28 19:08:24,Transfer Confirmation,['99-120'],['3000'],['CHARLIER'],['WE-ZONE'],['WE-ZONE_0000000027']
18,1995-02-28 23:58:00,Goods Receipt,['99-120'],['3000'],['CHARLIER'],['03-01-05'],['03-01-05_0000000026']
19,1995-06-16 19:20:36,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-05'],['03-01-05_0000000047']
20,1995-06-16 19:20:36,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-06'],['03-01-06_0000000048']
21,1995-06-16 19:20:36,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-07'],['03-01-07_0000000049']
22,1995-06-16 19:20:36,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-08'],['03-01-08_0000000050']
23,1995-06-16 19:20:36,Transfer Confirmation,['R-1340'],['1200'],['LOEHLE'],['03-01-09'],['03-01-09_0000000051']
